workload,impl,threads,size,run_i,elapsed_ms
equation,threads,8,80000000,10,77
equation,threads,8,80000000,11,68
equation,threads,8,80000000,12,91
equation,threads,8,80000000,13,79
equation,threads,16,80000000,1,121
equation,threads,16,80000000,2,60
equation,threads,16,80000000,3,61
equation,threads,16,80000000,4,64
equation,threads,16,80000000,5,76
equation,threads,16,80000000,6,72
equation,threads,16,80000000,7,56
equation,threads,16,80000000,8,76
equation,threads,16,80000000,9,74
equation,threads,16,80000000,10,60
equation,threads,16,80000000,11,83
equation,threads,16,80000000,12,65
equation,threads,16,80000000,13,67
